Candidate,Party,State,constituency
Susheel Kumar Singh (BJP)(Leading),Dr. Banshilal Mahto (BJP),Bihar,Aurangabad
Vijay Kumar Manjhi JD(U)(Leading),Dr. Banshilal Mahto (BJP),Bihar,Gaya
Chandan Kumar (LJP)(Won),Dr. Banshilal Mahto (BJP),Bihar,Nawada
Chandeshwar Prasad Chandravanshi JD(U)(Leading),Dr. Banshilal Mahto (BJP),Bihar,Jahanabad
Kaushalendra Kumar JD(U)(Leading),Dr. Banshilal Mahto (BJP),Bihar,Nalanda
Rajiv Ranjan Singh urf Lallan Singh JD(U)(Leading),Dr. Banshilal Mahto (BJP),Bihar,Munger
Chirag Kumar Paswan (LJP)(Won),Dr. Banshilal Mahto (BJP),Bihar,Jamui
Girdhari Yadav JD(U)(Leading),Dr. Banshilal Mahto (BJP),Bihar,Banka
Ajay Kumar Mandal JD(U)(Leading),Dr. Banshilal Mahto (BJP),Bihar,Bhagalpur
Vijay Hansda (JMM)(Leading),Dr. Banshilal Mahto (BJP),Jharkhand,Rajmahal
Abu Hasem Khan Chowdhury(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Maldaha Dakshin
Shri Khagen Murmu(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Maldaha Uttar
Dr Sukanta Majumdar(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Balurghat
Smt. Deboshree Chaudhary(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Raiganj
Mohammad Javed (Congress)(Won),Dr. Banshilal Mahto (BJP),Bihar,Kishanganj
Smt. Deboshree Chaudhary(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Raiganj
Indra Hang Subba(Leading),Dr. Banshilal Mahto (BJP),Sikkim,Sikkim
Shri Raju Singh Bisht(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Darjeeling
Dr Jayanta Ray(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Jalpaiguri
Shri John Barla(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Alipurduars
Shri Nisith Pramanik(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Cooch Behar
naba kumar sarania(Leading),Dr. Banshilal Mahto (BJP),Assam,Kokrajhar
Abdul Khaleque(Leading),Dr. Banshilal Mahto (BJP),Assam,Barpeta
Queen Oja(Leading),Dr. Banshilal Mahto (BJP),Assam,Gauhati
Badruddin Ajmal(Leading),Dr. Banshilal Mahto (BJP),Assam,Dhubri
AGATHA K. SANGMA(Leading),Dr. Banshilal Mahto (BJP),Meghalaya,Tura
Vincent H Pala(Won),Dr. Banshilal Mahto (BJP),Meghalaya,Shillong
Shri Horensingh Bey(Leading),Dr. Banshilal Mahto (BJP),Assam,Autonomous District
Shri Dilip Saikia(Leading),Dr. Banshilal Mahto (BJP),Assam,Mangaldoi
Pradyut Bordoloi(Leading),Dr. Banshilal Mahto (BJP),Assam,Nowgong
Shri Dilip Saikia(Leading),Dr. Banshilal Mahto (BJP),Assam,Mangaldoi
Queen Oja(Leading),Dr. Banshilal Mahto (BJP),Assam,Gauhati
